,albumArtistsNames,albumReleaseDate,albumType,albumName,artistGenres,trackName,lyrics
77,Shawn Mendes,2020-12-04,album,Wonder,"Canadian Pop, Pop, Viral Pop",Wonder,"I wonder if I'm being real
Do I speak my truth or do I filter how I feel?
I wonder, wouldn't it be nice
To live inside a world that isn't black and white?
I wonder what it's like to be my friends
Hope that they don't think I'll forget about them
I wonder, I wonder

[Chorus]
Right before I close my eyes
The only thing that's on my mind
Been dreamin' that you feel it too
I wonder what it's like to be loved by you, yeah
I wonder what it's like
I wonder what it's like to be loved by

[Verse 2]
I wonder why I'm so afraid
Of saying something wrong, I never said I was a saint
I wonder, when I cry into my hands
I'm conditioned to feel like it makes me less of a man
And I wonder if someday you'll be by my side
And tell me that the world will end up alright
I wonder, I wonder
See Shawn Mendes LiveGet tickets as low as $106You might also like[Chorus]
Right before I close my eyes
The only thing that's on my mind
Been dreamin' that you feel it too
I wonder what it's like to be loved by you, yeah
I wonder what it's like
I wonder what it's like to be loved by you

[Bridge]
I wonder what it's like to be loved by you, yeah
I wonder what it's like to be loved by you
I wonder what it's like to be loved by—

[Outro]
Right before I close my eyes
The only thing that's on my mind
Been dreamin' that you feel it too
I wonder what it's like to be loved by you58Embed"
78,Niall Horan,2020-03-13,album,Heartbreak Weather,Pop,Nice To Meet Ya,"I like the way you talk, I like the things you wear
I want your number tattooed on my arm in ink, I swear
'Cause when the morning comes, I know you won't be there
Every time I turn around, you disappear

[Verse 2]
I wanna blow your mind, just come with me, I swear
I'm gonna take you somewhere warm, you know j'adore la mer
'Cause when the morning comes, I know you won't be there
Every time I turn around, you disappear

[Chorus]
(I got love for you)
(I got love for you)
Nice to meet ya
(I got love for you)
(I got love for you)

[Refrain]
Nice to meet ya, what's your name?
Let me treat ya to a drink

[Verse 3]
I like the way you talk, I like the things you wear
I want your number tattooed on my arm in ink, I swear
'Cause when the morning comes, I know you won't be there
And every time I turn around, you disappear
See Niall Horan LiveGet tickets as low as $5You might also like[Chorus]
(I got love for you)
(I got love for you)
Nice to meet ya
(I got love for you)
(I got love for you)

[Bridge]
One minute, you're there, the next one, you're gone
Been waiting for you all night, so come on
You know what I need, you know what I want
You know what I need now
You know what I need now

[Refrain]
Nice to meet ya, what's your name?
Let me treat ya to a drink

[Outro]
Nice to meet ya
(I got love for you)
Where ya been?
(I got love for you)
Let me treat ya
(I got love for you)
To a drink
(I got love for you)
Nice to meet ya43Embed"
79,Labrinth,2019-10-04,album,Euphoria (Original Score from the HBO Series),"Indie Poptimism, Pop",Formula,"E equals mc squared
I got a blimp inside my head
Flew over the cuckoo's nest
The lights are on, but there's no one here
Puffing with the dragons
I'm livin' for the thrill, formula
Screws loose on a Monday
Screws loose, where's the propane?
Screws loose, tell 'em
Screws loose, tell 'em
Screws loose, tell 'em
I'm livin' for the thrill, formula, tell 'em
Puffing with the dragons
Screws loose, tell 'em
I'm livin' for the thrill, formula (Screws loose)
Screws looseSee Labrinth LiveGet tickets as low as $44You might also like11Embed"
80,Lana Del Rey,2017-07-21,album,Lust For Life,"Art Pop, Pop",White Mustang,"Packin' all my things for the summer
Lyin' on my bed, it's a bummer
'Cause I didn't call when I got your number
But I liked you a lot
Slippin' on my dress in soft filters
Everybody said you're a killer
But I couldn't stop the way I was feelin'
The day your record dropped

[Chorus]
The day I saw your white Mustang
Your white Mustang
The day I saw your white Mustang
Your white Mustang

[Verse 2]
Caught up in my dreams and forgettin'
I've been actin' like armageddon 'cause you
Held me in your arms just a little too tight
That's what I thought
Summer's meant for lovin' and leavin'
I was such a fool for believin' that you
Could change all the ways you've been livin'
But you just couldn't stop
See Lana Del Rey LiveGet tickets as low as $201You might also like[Chorus]
The day I saw your white Mustang
Your white Mustang
The day I saw your white Mustang
Your white Mustang

[Bridge]
And you're revvin' and revvin' and revvin' it up
And the sound, it was frightenin'
And you were gettin' a part of that
You're gonna hit me like lightnin'

[Chorus]
White Mustang
Your white Mustang
The day I saw your white Mustang
Said, you're a wild mustang

[Outro]
You're gonna hit me like lightnin'
You're gonna hit me like lightnin'57Embed"
81,Nessa Barrett,2021-09-10,single,pretty poison,"Alt Z, Social Media Pop",sincerely,"Guess I'm still not in the grave
Pretty far from the cage you left me
Like I said, I'm not afraid
But for a minute, I was lost and empty
And I admit that I was scared as hell
Of the things that I might do to myself
But now I'm happy
Yeah, I'm happy, I'm happy now

[Outro]
But seriously, yo
I'm happy that you're, you're finally happy
You just have to, you know, follow your heart
And be with the people who feel right to your soul
You know, 'cause all the people who say stuff, they don't matter
You know that, they don't know the real you
They don't know what's really going onSee Nessa Barrett LiveGet tickets as low as $56You might also like2Embed"
82,Sandro Cavazza & Georgia Ku,2021-02-19,single,Love To Lose,Swedish Pop,Love To Lose,
83,Gracie Abrams,2020-07-14,single,minor,Alt Z,minor,"Hit me 310
And I'll be home at some point
Past sundown, because traffic
You already know that, oh
I'll put on a show
If you just come over
I'm sorry your house is in Glendale
Or somewhere far

[Pre-Chorus]
I would drive all night to get to you
But my curfew is early and mom's up at home
I would run for miles to get to you
But you gotta understand I can't 'cause

[Chorus]
M-I-N-O-R
I'm minorly stuck
And it's not your fault
Just how things are
M-I-N-O-R
I'm all out of luck
I'm minorly stuck, oh

[Verse 2]
Hit me 310
We'll meet by the freeway
It's shady, but better than nothing
Oh, take my word
I grew up not far but never been down here
At this time your house is in Glendale
Or somewhere far
See Gracie Abrams LiveGet tickets as low as $76You might also like[Pre-Chorus]
I would drive all night to get to you
But my curfew is early and dad's at the door
I would run for miles to get to you
But you gotta understand I can't 'cause

[Chorus]
M-I-N-O-R
I'm minorly stuck
And it's not your fault
Just how things are
M-I-N-O-R
I'm all out of luck
I'm minorly stuck, oh
M-I-N-O-R
I'm minorly stuck
And it's not your fault
Just how things are
M-I-N-O-R
I'm all out of luck
I'm minorly stuck, oh10Embed"
84,Tate McRae,2022-05-27,album,i used to think i could fly,Pop,what would you do?,"You think you're such a cool kid and everybody likes you
Know you think I'm stupid, say you know more than I do
But what you'll never understand is I used to be such a fan
But now you're such a cool kid, it's like I don't even know you
Yeah

[Pre-Chorus]
I'm getting really sick, sick of how ""sorry"" sounds
Coming right out your mouth, oh-oh
Don't get too comfortable
'Cause I might not be there
Next time you turn around, so

[Chorus]
What would you do if I leave and don't come back?
I hope it breaks you in two (I hope it breaks you in two)
If I gave back all the pain that you put me through (Ooh, ooh-ooh, ooh, ooh)
What would you do?

[Verse 2]
(Ha-ha-ha)
I've always been a nice girl, I'm pretty understanding
But you mess up my head, boy, and you're taking mе for granted
And you're probably gonna throw a fit (Throw a fit)
When I call you out on all your shit (All your shit)
Yеah, I used to be a nice girl
I bet you wish it lasted, oh
See Tate McRae LiveGet tickets as low as $25You might also like[Pre-Chorus]
I'm getting really sick, sick of how ""sorry"" sounds
Coming right out your mouth (Out your mouth), oh-oh (Oh-oh)
Don't get too comfortable
'Cause I might not be there
Next time you turn around, so

[Chorus]
What would you do if I leave and don't come back?
I hope it breaks you in two (I hope it breaks you in two)
If I gave back all the pain that you put me through (Ooh, ooh-ooh, ooh, ooh)
What would you do?

[Bridge]
We'll make plans and I won't show up
I won't listen, I'll interrupt
When your birthday comes, won't answer ya 'cause so what?
So what?
I'll go out and kiss your friends like, ""Oh my God, get over it""
Yeah, go get drunk so you forget I'm gone

[Chorus]
What would you do if I leave and don't come back?
I hope it breaks you in two (Breaks you in two)
If I gave back all the pain that you put me through (Ooh, ooh-ooh, ooh, ooh)
What would you do?
[Outro]
(Ooh, ooh-ooh, ooh, ooh)
What would you do?
(Ooh, ooh-ooh, ooh, ooh)
What would you do?11Embed"
85,John K,2020-11-12,album,love + everything else,Singer-songwriter Pop,if we never met (feat. Kelsea Ballerini),"If we never met
I'd be drunk, waking up in someone else's bed
I'd be lost in a crowded room of fake friends
I wouldn't even know what love is
If we never met

[Verse 1: John K]
What if I never started singing?
What if you never, told your family you were leaving?
When you felt the pressure
There's a million different reasons
We shouldn't be together
But when I put it all together

[Pre-Chorus 1: John K, Kelsea Ballerini & Both]
It all comes back to you, you, you
I love it when the only light is me, you, and the moon (Moon)
And baby, when I close my eyes, I'm thinkin' about

[Chorus: John K & Kelsea Ballerini]
If we never met
I'd be drunk, waking up in someone else's bed
I'd be lost in a crowded room of fake friends
I wouldn't even know what love is
If we never met
You might also like[Verse 2: Kelsea Ballerini]
Yeah
What if I would've left the party?
What if you never, look twice when you saw me?
In your favorite sweater
It must've been for a reason
For worse or better
'Cause when I put it all together

[Pre-Chorus 2: Kelsea Ballerini]
It all comes back to you, you, you
I love it when the city lights, bring out all the blue, ooh-ooh
Like when I'm lookin' in your eyes, and I realize

[Chorus: John K & Kelsea Ballerini]
If we never met
I'd be drunk, waking up in someone else's bed (One else's bed)
I'd be lost in a crowded room of fake friends
I wouldn't (I wouldn't even know), even know what love is (Love is)
If we never met, oh-oh

[Outro: John K & Kelsea Ballerini, Kelsea Ballerini]
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh
If we never met
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-oohEmbed"
86,Astrid S,2017-06-30,single,Party's Over,"Alt Z, Norwegian Pop, Pop, Uk Pop",Such A Boy,"Say you need more space
What are you, an astronaut?
Got the whole universe
So what you coming 'round here for?
Said you need more air
Are you underwater now?
We're not even in that deep
Acting like you're gonna drown

[Refrain]
We were dancing late into the day
Half asleep and half awake
When the music starts to fade
We were laying, laying in my bed
For one second, you forget
Oh, here we go again

[Pre-Chorus]
You say you want a break, so we break up
It's a mistake, so we make up
And then we make out, you freak out
Here we go again
You say we go too fast when you're sober
Then have a glass, you're coming over
And then we make out, you freak out
You might also like[Chorus]
Don't be such a boy
Boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy, boy
Don't be such a boy
Boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy, boy

[Verse 2]
You say you need more me
What, am I a toy again?
You play me like you're all I got
But I ain't hanging by your threads
You say you need love
Mmm, yeah, we all do
And I want to if you let me

[Refrain]
We were dancing late into the day
Half asleep and half awake
When the music starts to fade
We were laying, laying in my bed
For one second, you forget
Oh, here we go again
[Pre-Chorus]
You say you wanna break, so we break up
It's a mistake, so we make up
And then we make out, you freak out
Here we go again
Say we go too fast, when you're sober
Then have a glass, you're coming over
And then we make out, you freak out

[Chorus]
Don't be such a boy
Boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy, boy
Don't be such a boy
Boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy
Boy, boy, boy, boy, boy, boy

[Outro]
Breathe in, breathe out
We're chilling, so chill out
You're falling to fall out
Don't be such a boy
Breathe in, breathe out
We're chilling, so chill out
You're falling to fall out
Don't be such a boy9Embed"
87,Metro Boomin,2022-12-02,album,HEROES & VILLAINS,Rap,Creepin' (with The Weeknd & 21 Savage),"Lewis Capaldi - Pointless
Arcangel - La Jumpa
PinkPantheress - Boy's a liar
A$AP Rocky - Shittin' Me
Pheelz - Ballin
Villano Antillano - Kaleidoscópica
100 gecs - Torture Me (feat. Skrillex)
Latto - FTCU (feat. GloRilla & Gangsta Boo)
Morgan Wallen - One Thing At A Time
Jessie Murph - Drunk in the Bathtub
Nas - One Mic, One Gun
$uicideboy$ - My Swisher Sweet, But My Sig Sauer
RM - Still Life (with Anderson .Paak)
Quinn XCII - Let Me Down (with Chelsea Cutler)
Noah Cyrus - Set For Life
PNAU - You Know What I Need
Bad Gyal - Real G
Metallica - Lux Æterna
NEIL FRANCES - High🐚
Stephen Dawes - It Could Be Me
Parker McCollum - Stoned
MOUNT WESTMORE - Activated
Coi Leray - Players
Joy Oladokun - Power
James Arthur - Heartbeat
Katie Gregson-MacLeod - white lies
brakence - 5g
Snakehips - Solitude (with BIA & Lucky Daye)
Cruza - Fantasy
half•alive - Nobody
RINI - Pressure
SkyeChristy - I'm Not Like Alice
Lyn Lapid - Saturn
Jelly Roll - she
Loud Luxury - Afterparty
Finesse2tymes - Overdose
2Rare - Lil Mama
Precious Pepala - Voices
Julia Wolf - Gothic Babe Tendencies (feat. blackbear)
Felly - me and my gang
SASH - biscayne
Louis The Child - Amsterdam (Deep Inside) - Single Version🐚
ITZY - Cheshire
Olivia Knox - Smoke Signal🐚
Emotional Oranges - Let Me Go
Lil Peep - angeldust
Nippa - The One
Babyface Ray - Wonderful Wayne & Jackie Boy (feat. Lil Durk)
Justus Bennetts - Everything Is Nothing
Carlie Hanson - Pretender
Lainey Wilson - New Friends
Aya Nakamura - SMS
Powfu - shade of blue (feat. Rxseboy, Tia Tia & Shalfi)
OHGEESY - Gallery
Lil Mosey - Backpack
Yandel - Delincuente
Nakkia Gold - Past
Two Friends - Hate Me (feat. Billy Lockett)
Chloe George - Sunny D
Emei - Backtrack
Against The Current - blindfolded
Icewear Vezzo - One Time (feat. Jeezy)☑️
Saucy Santana - Bop Bop
Russ Millions - One of a Kind
Jordan Hawkins - Screamin'🐚
THEY. - Set Me Free
LU KALA - Pretty Girl Era
Circa Waves - Carry You Home
Wallice - Japan
Jonah Kagen - georgia
Peach Tree Rascals - I Need That🐚
Tenille Arts - Motel On the Moon
amy michelle - patience
Christian Kuria - Santorini
Yungeen Ace - Gang Nem (feat. EST Gee)☑️
Sheck Wes - PAIN!
Carl Cox - Deep Space X 🐚
RL Grime - Renegade
Hunter Daily - Skeleton Key
Alex Warren - Chasing Shadows
will hyde - 6am in amsterdam.
Baby Fisher - This is the End🐚
hey, nothing - Too Drunk to Drive☑️
lozeak - Cutthroat
moony - machines🐚
Ivan Cornejo - Ya Te Perdí
Aáyanna - Risky
David Dunn - Poison🐚
Rileyy Lanez - On Us
Laci Kaye Booth - Damn Good in a Dive Bar🐚
Ellise - Did It Hurt?
Ellye Lennon - Priority🐚
Blair Lee - Last Bite🐚
Day Wave - Cold Like Me
Daniel Allan - Minuteman (with DLG.)🐚
Kieran Ivy - Figured Out
Teenage Priest - Let It Pass🐚
Grabbitz - When You & Me Dance
Adeem the Artist - CarolinaEmbed"
88,Billie Eilish,2017-08-11,single,dont smile at me (Expanded Edition),"Art Pop, Pop",watch,"Lips meet teeth and tongue
My heart skips eight beats at once
If we were meant to be, we would have been by now
See what you wanna see, but all I see is him right now

[Chorus]
I'll sit and watch your car burn
With the fire that you started in me
But you never came back to ask it out
Go ahead and watch my heart burn
With the fire that you started in me
But I'll never let you back to put it out

[Verse 2]
Your love feels so fake
And my demands aren't high to make
If I could get to sleep, I would have slept by now
Your lies will never keep, I think you need to blow 'em out

[Chorus]
I'll sit and watch your car burn
With the fire that you started in me
But you never came back to ask it out
Go ahead and watch my heart burn
With the fire that you started in me
But I'll never let you back to put it out
See Billie Eilish LiveGet tickets as low as $86You might also like[Bridge]
When you call my name
Do you think I'll come runnin'?
You never did the same
So good at givin' me nothin'
When you close your eyes, do you picture me?
When you fantasize, am I your fantasy?
Now you know
Now I'm free

[Chorus]
I'll sit and watch your car burn
With the fire that you started in me
But you never came back to ask it out
Watch my heart burn
With the fire that you started in me
But I'll never let you back to put it out
[Outro]
Ooh, never let you back
Let you back, let you back
Never gonna let you back
Let you back72Embed"
89,Charlie Puth,2022-10-06,album,CHARLIE,"Pop, Viral Pop",Light Switch,"Yeah

[Verse 1]
Why you callin' at 11:30
When you only wanna do me dirty?
But I hit right back
'Cause you got that-that, yeah
Why you always wanna act like lovers
But you never wanna be each others'?
I say, ""Don't look back""
But I go right back and

[Pre-Chorus]
All the sudden, I'm hypnotized
You're the one that I can't deny
Every time that I say I'm gonna walk away

[Chorus]
You turn me on like a light switch
When you're movin' your body around and around
Now, I don't wanna fight this (No)
You know how to just make me want
You turn me on like a light switch
When you're movin' your body around and around
You got me in a tight grip (Yeah)
You know how to just make me want you, baby
You might also like[Verse 2]
Do you love it when you keep me guessin' (Me guessin')
When you're leaving then you leave me stressin'? (Me stressin')
But I can't stay mad when you walk like that, no
Why you always wanna act like lovers?
But you never wanna be each others'
I say, ""Don't look back""
But I go right back and

[Pre-Chorus]
All the sudden, I'm hypnotized (Hypnotized)
You're the one that I can't deny (Can't deny)
Every time that I say I'm gonna walk away (Yeah)

[Chorus]
You turn me on like a light switch
When you're movin' your body around and around
Now, I don't wanna fight this (No)
You know how to just make me want
You turn me on like a light switch (Switch)
When you're movin' your body around and around
You got me in a tight grip (Grip)
You know how to just make me want you, baby

[Refrain]
Come on, come on, come on, come on, come on and show me how you do (You do)
You want, you want, you want, you want, you wanna keep me wantin' you (Me wantin' you, girl)
Come on, come on, come on, come on, come on and (Hey), show me how you do (How you do)
You want, you want, you want, you want, you wanna keep me wantin' you
[Bridge]
You turn me on like a light switch
When you're movin' your body around and around
Now, I don't wanna fight this
You know how to just make me want to

[Chorus]
You turn me on like a light switch
When you're movin' your body around and around
You got me in a tight grip
You know how to just make me want you, baby

[Refrain]
Come on, come on, come on, come on, come on and show me how you do (How you do)
You want, you want, you want, you want, you wanna keep me wantin' you  (Wanna keep me wantin' you, baby)
Come on, come on, come on, come on, come on and show me how you do (You do)
You want, you want, you want, you want, you wanna keep me wantin' you67Embed"
90,Astrid S,2016-05-20,single,Astrid S,"Alt Z, Norwegian Pop, Pop, Uk Pop",Jump,"If I fell with no one around
Would it even make a sound?
'Cause I can't even make one now
And I get these thoughts in my head
But I wouldn't do it anyway
Or at least that's what I say

[Chorus]
'Til I'm right on the edge
I take a look at the bottom
And I know it will hurt hitting ground
But I don't think that I'd mind the falling
Would anyone know?
Is there anyone watching?
I'm getting crazy ideas in my head
And I don't think I'm able to stop them
Jump

[Verse 2]
When the water rushes in
I feel it filling up my lungs
I'm in the calm before the storm
When I dive, feel the wind in my hair
Nobody can talk me down
I'm really gonna do it now
You might also like[Chorus]
I'm standing right on the edge
Looking down at the bottom
And I know it will hurt hitting ground
But I don't think that I'd mind the falling
Would anyone know?
Is there anyone watching?
I'm getting crazy ideas in my head
And I'm not even trying to stop them
Jump
I'm standing right on the edge
Looking down at the bottom
And I know it will hurt hitting ground
But I don't think that I'd mind the falling
Would anyone know?
Is there anyone watching?
I'm getting crazy ideas in my head
And I'm not even trying to stop them
Jump1Embed"
91,Taylor Swift,2019-08-23,album,Lover,Pop,I Forgot That You Existed,"How many days did I spend thinking
'Bout how you did me wrong, wrong, wrong?
Lived in the shade you were throwing
'Til all of my sunshine was gone, gone, gone
And I couldn't get away from ya
In my feelings more than Drake, so yeah
Your name on my lips, tongue-tied
Free rent, living in my mind

[Pre-Chorus]
But then something happened one magical night

[Chorus]
I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
It isn't love, it isn't hate, it's just indifference
I forgot that you

[Verse 2]
Got out some popcorn
As soon as my rep started going down, down, down
Laughed on the school yard
As soon as I tripped up and hit the ground, ground, ground
And I would've stuck around for ya
Would've fought the whole town, so yeah
Would've been right there, front row
Even if nobody came to your show
See Taylor Swift LiveGet tickets as low as $225You might also like[Pre-Chorus]
But you showed who you are, then one magical night

[Chorus]
I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
It isn't love, it isn't hate, it's just indifference
I forgot that you

[Bridge]
Sent me a clear message
Taught me some hard lessons
I just forget what they were
It's all just a blur

[Chorus]
I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
I did, I did, I did
It isn't hate, it's just indifference
It isn't love, it isn't hate, it's just indifference
So, yeah60Embed"
92,Sam Smith,2023-01-27,album,Gloria,"Pop, Uk Pop",Unholy (feat. Kim Petras),"Lil Nas X - STAR WALKIN' (League of Legends Worlds Anthem)
Lewis Capaldi - drivers license - Spotify Singles
Kelsea Ballerini - MUSCLE MEMORY
CKay - mmadu
GloRilla & Cardi B - Tomorrow 2
Maya Hawke - Luna Moth
Khalid - Satellite
DaBaby - SOCKS☑️
Muni Long - Plot Twist
Moneybagg Yo - Blow
Q - Stereo Driver
Yung Gravy, bbno$ & Rich Brian - C'est La Vie
Stormzy - Mel Made Me Do It
Freddie Gibbs - Dark Hearted
Fred again.. - Bleu (better with time)☑️
The 1975 - All I Need To Hear
Wet Leg - Daisy - Spotify Singles
Kid Cudi & Ty Dolla $ign - Willing To Trust
FLO - Not My Job
5 Seconds of Summеr - Bad Omens
Quinn XCII – Common (feat. Big Sean)
iann dior - saddеst soundtrack
SG Lewis - Vibe Like This (feat. Ty Dolla $ign & Lucky Daye)
SiR - Nothing Even Matters
GIVĒON – Time
Joy Oladokun - Sweet Symphony (with Chris Stapleton)
JVKE - this is what sadness feels like
Polimá WestCoast & J Balvin - KAWAII
Jamie xx - KILL DEM🐚
YG - Maniac
Major Lazer, Major League Djz, & DJ Maphorisa - Koo Koo Fun (feat. Tiwa Savage)
Rauw Alejandro & Baby Rasta - PUNTO 40
Channel Tres - No Limit☑️
Alex G - Immunity
Ashe - Love Is Letting Go (feat. Diane Keaton)
Joshua Bassett - Lifeline
JP Saxe - When You Think Of Me
Shania Twain - Waking Up Dreaming
Maddie & Tae - Watching Love Leave
Protoje - Ten Cane Row
Lakeyah - Maneuver (feat. Flo Milli)
Gucci Mane, BiC Fizzle & BigWalkDog - Red Flag
Red Hot Chili Peppers - Eddie
Charlotte Lawrence - Morning
Mike Posner - I'm Not Dead Yet
Baby Tate - Ain’t No Love (feat. 2 Chainz) ☑️
Kordhell & Scarlxrd - MISS ME?
Kito - Sad Girl Music (feat. BANKS)
D-Block Europe - Lonely Lovers☑️
Tom The Mail Man - •YOU’RE THE ONE I LIKE NOW•
The Smashing Pumpkins - Beguiled
Emotional Oranges - Cardigan
Carin Leon - Si Es Cierto Que Te Vas🐚
Christian Leave - Why Not? 🐚
BLACKSTARKIDS - DIGITAL WORLD 🐚
Izzi De-Rosa - love u in the morning
Shallou - Save Some Room 🐚
MEDUZA - Under Pressure 🐚
Toosii - Heartaches
LUCKI - KAPITOL DENIM
Crush - Rush Hour (Feat. j-hope of BTS)
Jnr Choi - TICK TOCK
Savannah Ré - WTF☑️
Zoe Wees - Daddy's Eyes
Zolita - 20 Questions
Nate Smith - I Found You
Milky Chance - Troubled Man
Weezer - What Happens After You?
JELEEL! - DELIVER!
DreamDoll - Fantasy 🐚
Kailee Morgue - Queen Bitch
Monét Ngo - Bleachers 🐚
Alvvays - Belinda Says
TOLEDO - How It Ends 🐚
Yellow Days - Inner Peace 🐚
Nikki Lane - Denim & Diamonds 🐚
Elaine - Deja Vu
Kany García & Christian Nodal- La Siguiente
Aya Nakamura - VIP
Ofenbach - Love Me Now 🐚 (feat. FAST BOY)
Sam Tompkins - Lose It All
PIAO - Haunted by Potential 🐚
Allie Paige - i feel like flying☑️
Greyson Chance - My Dying Spirit
SLANDER - Nothing Hurts Like Goodbye (Feat. Kiiara)
Cam’Ron & A-Trak - What You Do 🐚
Fabolous & Dave East - BACH TO BACH
Kendell Marvel - Come on Sunshine 🐚
Gunnar Gehl - Cinnamon 🐚
Magdalena Bay - Unconditional
Vieux Farka Touré & Khruangbin - Diarabi 🐚
Izzy Spears - BAD NEWS 🐚
NMIXX - DICE
TSHA - Running 🐚
Tamino - Sunflower
re6ce - teeth (you)
Ocean x KungFu - M.A.B 🐚
Bellah - Garden 🐚
Georgia Webster - X's 🐚Embed"
93,Tom Grennan,2018-07-06,album,Lighting Matches (Deluxe),Uk Pop,Found What I've Been Looking For,"Always fine lines between us
They say nowadays don't mean much
Cast an anchor in the sand, what we did
But my ship set sail and I’m here to tell that
I don’t mean like the others
And I…

[Chorus]
I keep searching and I can’t seem to find what I’m wanting
It’s changing all the time and if you noticed a different side of mine
Then I’ve found what I’ve been looking for
Found what I’ve been looking for, yeah
Oooooooooh (found what I’ve been looking for, yeah)
Oooooooooh (found what I’ve been looking for, yeah)

[Verse 2]
Should I wait, should I stay to see it
Unfold 'cause I’m told, I need it
I’m not frightened to take a step away
But my ship set sail and I’m here to tell that
I don’t mean like the others
And I…

[Chorus]
I keep searching and I can’t seem to find what I’m wanting
It’s changing all the time and if you noticed a different side of mine
Then I’ve found what I’ve been looking for
Found what I’ve been looking for, yeah
Oooooooooh (found what I’ve been looking for, yeah)
Oooooooooh (found what I’ve been looking for, yeah)
See Tom Grennan LiveGet tickets as low as $61You might also like[Bridge]
I’ve been running round, running round, running round
Now I’m down and out, down and out, down and out
Scared the magic might fade away

[Chorus]
I keep searching and I can’t seem to find what I’m wanting
It’s changing all the time and if you noticed a different side of mine
Then I’ve found what I’ve been looking for
Found what I’ve been looking for

I keep searching and I can’t seem to find what I’m wanting
It’s changing all the time and if you noticed a different side of mine
Then I’ve found what I’ve been looking for
Found what I’ve been looking for, yeah
Oooooooooh (found what I’ve been looking for, yeah)
Oooooooooh (found what I’ve been looking for, yeah)
Oooooooooh (found what I’ve been looking for, yeah)
Oooooooooh (found what I’ve been looking for, yeah)4Embed"
