"albumArtistsNames","albumReleaseDate","albumType","albumName","artistGenres","trackName"
"Nessa Barrett","2021-09-10","single","pretty poison","Alt Z, Social Media Pop","sincerely"
"Sandro Cavazza & Georgia Ku","2021-02-19","single","Love To Lose","Swedish Pop","Love To Lose"
"Gracie Abrams","2020-07-14","single","minor","Alt Z","minor"
"Tate McRae","2022-05-27","album","i used to think i could fly","Pop","what would you do?"
"John K","2020-11-12","album","love + everything else","Singer-songwriter Pop","if we never met (feat. Kelsea Ballerini)"
"Astrid S","2017-06-30","single","Party's Over","Alt Z, Norwegian Pop, Pop, Uk Pop","Such A Boy"
"Metro Boomin","2022-12-02","album","HEROES & VILLAINS","Rap","Creepin' (with The Weeknd & 21 Savage)"
"Billie Eilish","2017-08-11","single","dont smile at me (Expanded Edition)","Art Pop, Pop","watch"
"Charlie Puth","2022-10-06","album","CHARLIE","Pop, Viral Pop","Light Switch"
"Astrid S","2016-05-20","single","Astrid S","Alt Z, Norwegian Pop, Pop, Uk Pop","Jump"
"Taylor Swift","2019-08-23","album","Lover","Pop","I Forgot That You Existed"
"Sam Smith","2023-01-27","album","Gloria","Pop, Uk Pop","Unholy (feat. Kim Petras)"
"Tom Grennan","2018-07-06","album","Lighting Matches (Deluxe)","Uk Pop","Found What I've Been Looking For"
"The Weeknd","2023-03-14","album","Starboy (Deluxe)","Canadian Contemporary R&b, Canadian Pop, Pop","Die For You (with Ariana Grande) - Remix"
"Taylor Swift","2020-12-10","album","evermore","Pop","willow"
"Mae Stephens","2023-02-10","single","If We Ever Broke Up","Singer-songwriter Pop","If We Ever Broke Up"
"Sam Alesandri","2021-12-06","single","Lose Yourself","","Lose Yourself"
"UPSAHL","2019-01-18","single","Drugs","Alt Z, Modern Indie Pop","Drugs"
"Joshua Bassett","2021-01-14","single","Lie Lie Lie","Singer-songwriter Pop","Lie Lie Lie"
